Disability medical benefits,BE-01-00-00-00
"This category concerns issues that consumers and businesses have, including around forming a contract, possible fraud or misrepresentation, payment plans and loans, poor performance, or other problems with the contracting.",MO-03-00-00-00
"About rights and remedies when a person returns to civilian work after serving in the military, including dealing with problems with pay, promotions, and seniority that can be addressed through USSERA.",WO-10-00-00-00
"This category concerns issues with having insurance for a car one is using, including purchasing it, making claims, getting temporary insurance for a rental, and dealing with the insurance company.",TR-05-00-00-00
About opportunities to work while in a prison.,WO-09-00-00-00
"This category is about what options or rights a person has if they have been injured by a car. It could be based on the manufacturer's car vehicle defect or recall, or it could be around another person's driving. It covers what options this person might have, including filing a lawsuit to recover damages for the injury.",TR-01-00-00-00
"This category concerns options that a person has to have others make decisions about their medical, legal, financial, or other life matters. It includes options for medical care if a person has a terminal injury or illness, health-care proxies, do not resuscitate orders, organ donation choices, and powers of attorney.",ES-05-00-00-00
"About getting certificates, cards, licenses, and other official documentation to prove something about yourself or someone else.",FA-02-00-00-00
"About questions, regulations, and other concerns about zoning, and what kind of changes or buildings can be made based on zoning rules.",HO-12-00-00-00
"This category concerns issues around filing for divorce, separation, or annulment, getting spousal support, splitting money and property, and following the court processes.",FA-06-00-00-00
"This category covers benefits that are potentially available to members of the US military and veterans of it. It includes medical assistance, disability, educational benefits, mortgage benefits, and other programs.",BE-06-00-00-00
"This category covers how a person may be protected from discrimination when searching for or living in housing. This could be for renting or buying a house. It covers what protections the law may give, for people in different demographic groups.",HO-01-00-00-00
"This category is about financial support to cover costs for renting a home and covering home costs. In includes vouchers, subsidized housing, public housing, Section 8, rural housing subsidies, and the standards and procedures of living in public and subsidized housing (or being removed from it). ",HO-03-00-00-00
"This category is about problems that people have where they live, including health issues, environmental issues, security, and other habitability issues with an individual home or neighborhood. It could be for rented homes, a home one owns, or the broader neighborhood.",HO-05-00-00-00
"About issues people experience with housing after they have been in the criminal justice system through an arrest, incarceration, or other police encounter.",HO-11-00-00-00
"This category covers issues with accessing health services, paying for medical care, getting public benefits for health care, protecting one's rights in medical settings, and other issues related to health.",HE-00-00-00-00
"This category covers health and legal issues that a person might face because of poor living conditions. This could be problems with bad air quality, mold, pests, asthma, lead poisoning, poor water and sewage, environmental waste, or other issues.",HE-06-00-00-00
"This category includes issues around life insurance for military service members, and death benefits that are unique to service members.",ES-07-00-00-00
"About the period after leaving a job, including being fired or quitting, severance agreements, non-compete contracts, references, personnel files, getting back pay, and harassment.",WO-03-00-00-00
"About forming unions, joining them, rights as a union member, dealing with possible problems, and opting out of a union.",WO-05-00-00-00
"This category covers issues, laws, and services specific to people who have served in the military.",VE-00-00-00-00
"This category concerns what public benefit programs an immigrant to the US might be able to access. This includes eligibility and procedural requirements for immigrants for programs like food stamps (SNAP benefits), medicaid, medicare, disability, old age, SSI, TANF, welfare, and other assistance programs from the government.",IM-03-00-00-00
"This category is about making child custody orders and parenting plans, modifying it and enforcing it, getting visitation for different family members, and dealing with abductions by a family member.",FA-04-00-00-00
"About getting financial and work support, including leave, to take care of a sick or disabled family member, including around pregnancy.",FA-16-00-00-00
"This category is about problems with homes you own or live in, that are going into foreclosure, how to defend against it, and the court process around it.",HO-08-00-00-00
"About getting decision-making authority over an adult or child's funds, health care, school enrollment, estate, and other concerns.",ES-03-00-00-00
"This issue deals with a person's options regarding filing for bankruptcy, dealing with the procedure of it, and the possible outcomes of it. It concerns issues about who should file for bankruptcy, including around who might be collection-proof. It includes how to file for different kinds of bankruptcy -- Chapter 7, Chapter 11, Chapter 12, or Chapter 13. It also covers exceptions and exemptions, or stays in a bankruptcy. ",MO-13-00-00-00
About rights and duties of people who are interning or volunteering at a job.,WO-06-00-00-00
"This category covers problems with traffic and parking tickets, fees, driver's licenses, and other issues experienced with the traffic system. It also concerns issues with car accidents and injuries, cars' quality, repairs, purchases, and other contracts.",TR-00-00-00-00
"About paying for the costs of children's daycare, caretakers, and educational expenses. It also relates to economic development and child care concerns.",FA-03-00-00-00
"This category concerns issues around family law for Native Americans, including around divorce, child custody, child support, and the Indian Child Welfare Act.",NA-03-00-00-00
"About getting payments and benefits after retiring a job or end of career, including around ERISA, vesting of benefits, managers of benefits, and railroad retirement.",WO-04-00-00-00
"About issues that might arise while a person is trying to get a job, including rights and discrimination, background checks, criminal records, drug testing, affirmative action, and inappropriate behavior.",WO-01-00-00-00
"This category concerns issues with owning a car, including how to pay for it, getting insurance for it, repairing it, warranties on it, and dealing with possible repossession.",TR-04-00-00-00
"This category concerns issues around a minor who requests to be emancipated from their parents, contesting it, rights afterward, and other situations of children (including adult children) breaking away from their parents.",FA-08-00-00-00
"This category covers issues with paying your rent or mortgage, landlord-tenant issues, housing subsidies and public housing, eviction, and other problems with your apartment, mobile home, or house.",HO-00-00-00-00
"This category is about the process of renting or leasing a home, and problems that may come up while renting a home, mobile home lot, or while living in a group home or homeless shelter. It includes landlord-tenant issues for private rentals, subsidized homes, public homes, or other situations where the person living in the property doesn't own it.",HO-06-00-00-00
"This category concerns issues for homeowners, like with improvements, contractors, neighbors, mortgages, taxes, and titles. It also includes problems with owning a home, including foreclosures and liens.",HO-09-00-00-00
"This category concerns the issues that an employee or worker might face at work, if they have health problems or a disability.",HE-07-00-00-00
"This category is about the process of married or forming civil unions, getting a certificate to prove the union, and changing names for it.",FA-10-00-00-00
"About minors who are in criminal proceedings, or dealing with discipline in school, including getting advocates and support.",CR-10-00-00-00
"This category is about the process of buying a home, coop, condo, mobile home -- and dealing with problems with the purchase. This includes issues with getting title, closing on a house purchase, getting financing, and other issues.",HO-04-00-00-00
"This category covers issues people face regarding money, insurance, consumer goods and contracts, taxes, and small claims about quality of service.",MO-00-00-00-00
"This category concerns resources and options for improving a person's ability to understand their finances, and make choices in their best interest.",MO-05-00-00-00
"This category is about how to set up, use, deal with disputes, and end a trust. It also covers different types of trusts, including those set up as part of a guardianship. Trusts are tools to save assets, set rules about how they are used, who can access the assets, ",ES-04-00-00-00
This category concerns options and process of changing one's name or gender assignment.,FA-11-00-00-00
"This category concerns options for people dealing with domestic violence and abuse, including getting protective orders, enforcing them, understanding abuse, reporting abuse, and getting resources and status if there is abuse.",FA-07-00-00-00
"This category concerns issues a person might have with their housing after a natural disaster or other emergency. It can include issues around owning, clearing title, rebuilding, and insuring a home when you have experienced or at risk of a disaster. It also includes landlord-tenant and eviction issues.",HO-10-00-00-00
"About problems that might arise while working at a job, including around proper payment and benefits, discrimination, inappropriate behavior, health issues and disabilities, immigration, training, and more.",WO-02-00-00-00
"About terminating parental rights, reporting child abuse or neglect, prisoners' parental rights, and reunification services for parents and children.",FA-14-00-00-00
"This category is about electric, energy, gas, and water utilities at home, including financial assistance, utilities being shut off, payment to them, or terminating them.",HO-07-00-00-00
"This category concerns situations in which someone feels they have been discriminated against based on their disability, or when they may have a right based on their disability. This includes situations around disability rights in education; protecting your employment rights while you have a disability; rights to service dogs and companion animals; voting access; rights to accommodation under the ADA; and otherwise.",RI-03-00-00-00
This category covers health benefits available to members of the US military or veterans of it.,VE-04-00-00-00
"This category covers the special protections that members of the military or veterans may have, including if they are facing eviction, foreclosure, debt collection, or other legal processes.",VE-06-00-00-00
"This category covers issues that arise within a family, like divorce, adoption, name change, guardianship, domestic violence, child custody, and other issues.",FA-00-00-00-00
"About health and physical injuries that happen to an employee while on the job, including how to report it, how to get workers compensation coverage for it.",WO-07-00-00-00
"This category concerns how an individual gets and maintains a driver's license or permit, to operate a car, motorcycle, truck, or other motor vehicle.",TR-03-00-00-00
"This category covers problems that one person has with another person (or animal), like when there is a car accident, a dog bite, bullying or possible harassment, or neighbors treating each other badly.",TO-00-00-00-00
"This category is about the process and options for a person who either wants to sue another for an injury they have experienced (that is not a crime, in which the government is initiating the lawsuit) -- or who has been sued by another person for an injury. It covers the process of how to initiate a lawsuit, how to respond to it, what rights and obligations both have, and how to deal with the final judgment.",TO-04-00-00-00
"This category concerns issues an adult or juvenile may have with their criminal record, including access to it, confidentiality of it, expungement (or masking, or cleaning) it, or other concerns.",CR-06-00-00-00
"This category covers visas, asylum, green cards, citizenship, migrant work and benefits, and other issues faced by people who are not full citizens in the US.",IM-00-00-00-00
"This category concerns the options, rights, and procedure of those facing the death penalty. It includes issues around understanding the local laws on death penalty, seeking clemency, problems with legal counsel representation, selection of juries, prosecutor's conduct, presentation of scientific evidence, showing competency or mental retardation, and other issues.",CR-07-00-00-00
"This issue area is about situations that prisoners face, rights that they have, their security, rehabilitation, work and employment, health care, communications with the outside world, and other conditions.",CR-15-00-00-00
"This category concerns rights that immigrants may have, including around work, standards of treatment, consular notification, and other protections.",IM-06-00-00-00
"This category covers issues related to natural disasters and public health emergencies, including people's rights, getting benefits and assistance, clearing title to property, and dealing with insurance.",DI-00-00-00-00
"This category concerns options that non-citizens in the US might have if they are facing domestic violence or abuse, including immigration pathways and other protections.",IM-12-00-00-00
This category concerns the rights of people who have been through human trafficking.,RI-16-00-00-00
This category concerns issues and options that farmers have around a natural disaster or other emergency. This category covers assistance that might be available to them.,DI-01-00-00-00
"This category covers the financial and other benefits that a person might get after or during a disaster. It includes FEMA Benefits, housing help, local help, and other public assistance programs. It covers who is eligible for this help, how they access it, how to maintain it, or other issues that might arise.",DI-02-00-00-00
This category is about options and assistance to find missing people after a natural disaster.,DI-03-00-00-00
"This category covers people's fundamental rights, that the government should protect and others should respect. It applies to situations of discrimination, abuse, due process, the first amendment, indigenous rights, and other key rights.",RI-00-00-00-00
"This category covers rights that employees and other works have when it comes to their compensation, harassment, medical or family leave, insurance, safety protections, and other rights they may have. This includes rights for special categories of work or employees, like agricultural work, immigrant workers, undocumented workers, or sex workers.",RI-08-00-00-00
"This category covers rights and protections that people in sex work may have, and how they can make use of them.",RI-15-00-00-00
"This category concerns situations in which a person feels that a government body (including at the federal government or state government level) has discriminated against them and caused them harm. This may also be known as an 'equal protection issue', based on the constitutional clause that says the government must treat people equally and fairly.",RI-01-00-00-00
"This category covers issues around pollution, hazardous waste, poisons, and other issues with the environment.",EN-00-00-00-00
"This category concerns the rights, benefits, and legal processes that are open to a student with a disability in the school system.",ED-07-00-00-00
"This category concerns issues of economic development, special programs to support businesses, and other problems and opportunities for enterprises after a natural disaster.",BU-07-00-00-00
"This category covers the logistics of how a person can interact with a lawyer or the court system. It applies to discussions of procedure, rules, and other practical matters about dealing with these systems.",CO-00-00-00-00
"This category concerns issues facing business that are for-profit, including how to start a business, incorporate, dissolve, take care of taxes, and other financial issues.",BU-05-00-00-00
"This category concerns a person's issues with participating in elections or in the law governing elections. This includes voting rights, voting systems, and election districting.",GO-03-00-00-00
"This category concerns issues with how to replace lost documents after a natural disaster has destroyed them. This may include identification documents, social security cards, birth certificates, marriage certificates, passports, title to property, or other important documents.",DI-06-00-00-00
"This category concerns particular protections, services, and rights that members of Native American tribes may have when they are victims of crimes. This includes access to Bureau of Indian Affairs victim assistance programs, that is meant to serve victims located in Indian country.",NA-05-00-00-00
This category covers issues and laws specific to Native Americans and indigenous populations.,NA-00-00-00-00
"This category covers issues around school, including accommodations for special needs, discrimination, student debt, discipline, and other issues in education.",ED-00-00-00-00
"This category covers the public benefits that children and families might receive, through the school system. It includes school lunch and breakfast programs, and health benefits through Medicaid.",ED-02-00-00-00
"This category covers services that people request from the government, including licenses for firearms, businesses, and hunting, as well as requests for information, and other privileges from the government.",GO-00-00-00-00
"This category concerns getting access to government records about oneself. This includes vital records, identification documents, passports, and birth certificates. It also includes name changes. It also includes accessing information about traffic tickets, bench warrants, and other records the government has about ones' alleged violations of law.",GO-02-00-00-00
"This category concerns legal issues in rebuilding homes, business properties, and regional plans after a natural disaster. This includes dealing with building regulations and other utility and infrastructure issues. Issues  in this category include property buy-outs, beach access, insurance policies, and different governments' rules.",DI-05-00-00-00
"This category concerns how individuals or groups can make home, property, medical, or other insurance claims after a disaster, to  get reimbursed. This includes how to file, determining your coverage, documenting issues, and managing disputes with insurance companies.",DI-04-00-00-00
"This category covers issues for those running a nonprofit enterprise, including around corporate governance, reorganizations, audits, insurance and liability, incorporation, dissolution, and other issues.",BU-06-00-00-00
"This category concerns licenses that an individual or business might want to get from the government, to be able to legally drive, fish, use a gun, or do other activities that the government regulates. ",GO-01-00-00-00
"This category covers issues faced by people who run small businesses or nonprofits, including around incorporation, licenses, taxes, regulations, and other concerns. It also includes options when there are disasters, bankruptcies, or other problems.",BU-00-00-00-00
"This issue area is about how to present evidence in a court or other legal proceeding -- including about standards of relevancy, hearsay, and exceptions; how to submit opinions or expert testimonies; how to impeach or contest testimony; what privileges exist; how to authenticate and identify evidence; and how to give judicial notice about evidence.",CO-05-00-00-00
"This term concerns how businesses and individuals can get licenses from the government  to operate their company legally and in compliance with local rules. This includes child care and day care licenses, and other business licenses.",BU-01-00-00-00
"About the process and benefits of adopting a child, including dealing with a contested adoption or getting time off from work.",FA-01-01-00-00
About the process and consequences of adopting a person who is legally an adult.,FA-01-02-00-00
"This category is about challenging the adoption of a child or an adult, including the process to do so, eligibility to do so, and possible outcomes.",FA-01-03-00-00
"About the rights that the biological mother and father of a child have, during the adoption process and after it is complete.",FA-01-04-00-00
"About the rights of grandparents, aunts, uncles, cousins, siblings, and other family members (aside from the birth parents), regarding a child being adopted -- both during the adoption process and after it is finalized.",FA-01-05-00-00
"This category is about the process and outcomes of adopting a child, when there is no one contesting the adoption.",FA-01-01-01-00
"This category is about the process and consequences of adopting a child, when someone is contesting the adoption.",FA-01-01-02-00
"About taking time off from a current job because of illness, adoption, bereavement, religious reasons, military service, disability treatment, domestic violence, or other reasons",WO-02-14-00-00
"About taking a temporary leave from a current job, while going through an adoption process or after an adopted child has joined one's family.",FA-01-01-03-00
This category is about accounting for funds spent (and possible financial exploitation) in a guardianship or conservatorship.,ES-03-01-00-00
This category is about the process and consequences of accounting how money is spent on a guardianship or conservatorship.,ES-03-01-01-00
"This category is about how to deal with concerns around financial exploitation in a guardianship or conservatorship, the process of evaluating whether there is exploitation, and consequences if there is exploitation.",ES-03-01-02-00
"About the processes of getting, contesting, changing, or ending a guardianship or conservatorship of an adult person over the age of 18.",ES-03-02-00-00
"This category is about the process and consequences of getting a guardianship or conservatorship of a child (under age 18), contesting one, changing one, and ending one. This includes situations where the child has an estate that is contested or uncontested, where the child has no estate, where there is a temporary or standby situation, and where there is a Guardian ad Litem (in court representation).",ES-03-03-00-00
"This category is about the rights that people have while serving as guardians or conservators to others (including to children and to adults). This includes distinctions between the rights that a guardian might have, versus that of someone who adopts another.",ES-03-04-00-00
This category is about the process and consequences of removing a person from the role of guardian or conservator for another person (child or adult).,ES-03-05-00-00
"This category is about the process and consequences of becoming a guardian or conservator of an adult (someone over the age of 18), to care for a person who is unable to care for themselves or manage their finances. This might be because the person is disabled or incapacitated.",ES-03-02-01-00
This category is about applying for an emergency procedure to become the guardian of an adult. This may be because there has been an accident or injury that has made the adult mentally unable to care for themselves. The emergency guardianship would allow the guardian to care for the person's estate and person for a short period of time -- and then could possibly be extended.,ES-03-02-01-01
"This category concerns issues that migrant and seasonal workers (often working in agriculture) face around employment. It includes situations in which people are working on farms or other agricultural settings, getting permission to work in the US, addressing issues around being undocumented, dealing with sexual violence at work, or seeking protection and employment rights.",IM-13-00-00-00
"This category concerns the process of becoming appointed by the court to be a guardian for a minor child (under age 18). The person being appointed should ensure the minor is properly cared for in terms of health, upbringing and education -- and that significant assets are protected.  This includes situations where there is an estate or no estate, when the appointment is contested or uncontested, and temporary or standby appointments.",ES-03-03-02-00
"This category is about the Supplemental Nutrition Assistance Program (SNAP) benefits, that were formerly called 'food stamps'. This includes eligibility for SNAP benefits, applying for them, protecting them, dealing with a denial, transitional benefits, and telephone recertification.",BE-02-01-00-00
"This category covers the Temporary Assistance for Needy Families (TANF) program, which provides time-limited assistance to families with children when the parents or guardians cannot provide for the family's basic needs. The category includes issues with applying for TANF benefits, eligibility requirements, getting emergency assistance, securing payments, dealing with time limits, and dealing with problems like termination, underpayment, due process, or otherwise.",BE-02-02-00-00
"This category covers the national programs to provide free or reduced-price breakfast and lunch to children attending schools. It covers the eligibility requirements, what benefits it entitles students to, how to apply, and dealing with any issues that come up.",ED-02-01-00-00
"This category covers general assistance programs, sometimes known as general relief benefits, that state and local governments provide to people. These programs often support low-income adults without minor children, who do not receive SSI. Not all state governments provide General Assistance. This category covers issues of eligibility for general assistance, how to apply for it, handling hearings for it, how to maintain or deal with issues that arise while on it, dealing with termination, and other issues.",BE-02-03-00-00
"This category covers issues around the Women, Infants and Children (WIC) program. The WIC program provides nutritional and health care assistance to eligible low-income pregnant or breastfeeding women, infants, and children up to age five. This category covers eligibility for WIC, applying to it, dealing with rejections, accessing the food and services, and dealing with termination.",BE-02-04-00-00
"This category covers benefit programs in which local states provide cash assistance to individuals or families. Not all states provide cash assistance. This category covers the availability of state funded cash assistance in a state, eligibility for it,  how to maintain it, dealing with rejections or suspensions of the benefit, and other issues that arise.",BE-02-05-00-00
"This category covers the benefit program Supplemental Security Income (SSI), which pays monthly benefits to people with limited income, who are disabled, blind, or age 65 or older. Blind or disabled children may also get SSI. This category covers issues with eligibility for SSI, applying for it, going through hearings about it, maintaining it, terminating it, and penalties around it. It covers both adults and children's issues with SSI.",BE-01-03-00-00
"This category covers the benefit program Social Security Disability Insurance (SSDI), which pays cash to individuals who are disabled (and their family members), if a person has worked long enough and has paid Social Security taxes. This category covers issues with eligibility for SSDI, applications for it, hearings about it, getting paid, dealing with overpayments, maintaining it, and terminating it.",BE-01-02-00-00
"This category concerns public benefits available to people who are older, including programs like Supplemental Security Income, Social Security retirement benefits. Social Security Survivor benefits, and other benefits programs that can provide cash assistance, funeral and burial expenses, and other assistance.",BE-07-00-00-00
"This category concerns state and local public benefits programs, that provide support for people with disabilities.",BE-01-01-00-00
"This category covers issues around Social Security retirement benefits, which can also be known as part of the Old Age, Survivors And Disability Insurance Program (OASDI). This program provides cash benefits for workers who have worked in 'covered employment' for a sufficient number of years when they are eligible to retire, beginning at age 62. This category covers issues with eligibility for Social Security retirement benefits, applications for it, hearings about it, getting paid, dealing with overpayments, maintaining it, and terminating it. It also covers issues around beneficiaries -- family members other than the worker.",BE-07-01-00-00
This category covers disability benefits available to veterans and members of the military.,BE-06-01-00-00
"This category concerns issues around a tenant being evicted from a home, which is supported through public funds. This could be evictions from Section 8 or federally subsidized housing; public housing; non-federal housing programs; or Rural Economy Community Development (formerly Farmers Home ) subsidized housing.",HO-02-02-00-00
"This category concerns issues when a tenant is facing eviction from a home that is federally-subsidized or Section 8 housing. This includes the defenses that a tenant can raise, like problems with the notice or procedure; reasonable accommodation; or warrant of habitability defenses. It also concerns policies like the One-Strike policy that can lead to the eviction.",HO-02-02-02-00
"This category concerns issues a person might face when being evicted from a homeless shelter or group home, what defenses they might raise to stop the eviction, and other concerns.",HO-02-01-00-00
"This category concerns issues around eviction from a privately rented home, or other housing that is not federally subsidized, public housing, or supported through government programs. It concerns  the process that landlords can use to remove tenants from housing, how eviction cases proceed in courts, and defenses that tenants can raise.",HO-02-03-00-00
This category concerns issues when a tenant of a public housing unit -- with a government housing authority as the landlord -- faces eviction. It includes the defenses that the tenant can raise.,HO-02-02-03-00
This category concerns issues for tenants when facing eviction from housing subsidized by Rural Economic and Community Development (formerly Farmers Home Administration or FMHA). It includes the defenses and protections tenants have.,HO-02-02-01-00
"This category covers how courts work when hearing an eviction (or unlawful detainer) lawsuit between a landlord and a tenant. This includes the rules, processes, options, and other procedural issues that people may need to understand to protect themselves during this kind of court proceeding.",HO-02-03-02-00
"This category concerns what a tenant can do after they have been evicted from a home. This includes expunging an eviction judgment from one's record, masking an eviction, recovering money damages for an illegal eviction, appealing an eviction, or otherwise.",HO-02-05-00-00
"This category concerns the legal defenses and other strategies that a tenant can use, to stop an eviction action or delay the removal from their home. This includes defenses that people in particular housing (subsidized, public, privately rented housing). It also includes the defenses and protections that particular groups (like veterans) might have.",HO-02-04-00-00
"This category concerns the protections and defenses that a military service-member has, when they or their dependents are facing eviction from a home. The Servicemember's Civil Relief Act (SCRA) protects dependents from being evicted while a service member is serving their country.",HO-02-04-04-00
"This category covers issues with mental health treatment, insurance coverage, rights, commitment procedures, community programs, guardianship, and other problems and rules.",HE-01-01-00-00
This category concerns how criminal proceedings work in tribal court systems.,NA-10-00-00-00
"This category concerns how to get an advance directive, maintain it, implement it, and deal with issues surrounding it.",ES-05-01-00-00
"This category concerns how to get, maintain, implement, and deal with living wills. A living will is different than a last will and testament. It allows a person to approve or decline certain types of medical care, if one has a terminal injury or illness. It includes provisions about declining medical treatment, that might lead one to die as a result.",ES-05-02-00-00
"This category concerns how to get, maintain, implement, and deal with issues of Powers of Attorney. A power of attorney is typically a legal document that gives one person the power to act for another person, with authority to make legal decisions about property, finances, or medical care. It's usually used when a person is ill, disabled, or not present for a transaction.",ES-05-03-00-00
"This category concerns how to clean, expunge, seal, or mask a record of a past arrest or conviction. One might want to expunge a criminal record when looking for housing, employment, or other opportunities. There may be different options if one has a juvenile criminal record versus an adult one.",CR-06-01-00-00
"This category concerns how a person can have a record of an eviction lawsuit or order sealed, masked, or expunged. This may be useful when they want to apply for housing, benefits, employments, and other opportunities.",HO-02-06-00-00
This category concerns issues around how a pardon (when a crime is officially forgiven and the offender is absolved of legal consequences) affects it has on one's criminal record.,CR-06-02-00-00
"This category concerns the options and process of having a crime pardoned. A pardon (not an expungement, cleaning, or sealing) is when a government official forgives the commission of a crime and absolves the offender of the legal consequences.",CR-02-01-00-00
"This category concerns issues around creditors and debt collectors trying to collect on outstanding loans or debts. This includes taking personal property, wages, liens against real property, freezes on a bank account, or other. This category concerns options, rights, strategies, and exemptions for debtors facing collection.",MO-12-01-00-00
This category concerns options and rights of people who are facing harassment or abuse by a creditor or debt collector.,MO-12-01-01-00
"This category concerns who qualifies to be 'collection-proof', and what they can do to protect themselves. Being collection proof means that a person is protected against personal, family, or household debt -- even if a creditor still can sue them.",MO-12-01-02-00
"This category concerns counseling and guidance option for someone in debt, in order to deal with debt collection problems.",MO-12-01-03-00
"This category concerns protections that a person might have from abusive debt collection practices, under the Fair Debt Collection Practices Act (FDCPA). This covers protections for credit card debt, auto loans, medical bills, student loans, mortgages, and household debts -- but not business debts. This limits the time and place that debt collectors can contact a person, or ways to stop contact.",MO-12-01-01-01
"This category concerns how to deal with a Deficiency Judgment, to pay off the remaining money that a court says a person owes after a foreclosure or repossession. The court judgment will order the person to pay back any remaining money to the creditor.",MO-12-01-04-00
This category concerns options a person has if their bank account has been frozen because of a debt collection.,MO-12-01-05-00
This category concerns problems around one's wages (paycheck) or property being garnished to pay for a debt. This includes exemptions a person might have to protect certain things from being garnished.,MO-12-01-06-00
"This category concerns how a person can protect their wages or property from a collector, including how to file for an exemption for wages.  Each state has different exemption laws that typically protect some of one's wages (for living costs), social security, disability, retirement, child support, or alimony payments.",MO-12-01-06-01
This category concerns when a creditor has an order to assign or garnish an employee's wages to pay money that is owed. Sometimes this is called 'earnings assignment' or 'earnings withholding'. Employers typically receiving the order to garnish the wages directly.,MO-12-01-06-02
"This category concerns issues when a creditor tries to take assets other than wages, through a levy or garnishment process. It includes how to claim an exemption to protect the asset.",MO-12-01-06-03
"This category concerns how to deal with a lien taken out against a piece of one's property -- including how to remove it, pay it off, settle it, dispute it, or get it corrected. A  A lien is a legal claim against a property, that lets a creditor take the property if one doesn't repay a debt. Liens can taken out on homes and cars, or as mechanic's/construction liens or tax liens. They can be taken by debt collectors after a judgment, by filing a lien against the debtors' property. ",MO-12-01-07-00
"This category concerns liens taken out on one's home. When borrowing money to pay for a home, one can use a lien to have the property serve as collateral. If one fails to meet payments or other requirements, the lien allows the lender to foreclose on the home and take the property.",H0-09-01-00-00
"This category concerns how to have a 'Title' to one's home, to show that one owns a home. This includes issues on how couples can arrange for multiple people to have 'title' to a home, how to change title to a home, or how to clear title one's home.",H0-09-02-00-00
"This category concerns how to prove one own's one's home, by getting a clear title to the property. A title may not be clear if title was not formally transferred after the owner dies, or during a sale of the property. This may be important after a natural disaster, when homeowners must be able to prove they own their home in order to access relief funds that would let them rebuild their home.",HO-09-02-01-00
This category concerns options a homeowner may have to defend against a foreclosure action. These defenses can include that the bank didn't follow state procedures; that the loan holder can't prove that they own the loan (they lack standing); that the mortgage servicer make a serious mistake; that the homeowner is a service-member on active duty; or that the statute of limitations has passed.,HO-08-01-00-00
"This category concerns defenses and protections that a military service-member can use if they face a foreclosure on their home. This includes local state law, and the federal law, the Servicemembers Civil Relief Act (SCRA), which grants benefits and protections to service-members, depending on when they took out a mortgage loan. It can protect the homeowner from a default judgment, get them a delay, reduce interest rates, and other benefits.",H0-08-01-01-00
"This category concerns protections that a military service-member may have against debt collectors, and from their property from being repossessed  while they are in military service -- and possibly beyond the end-date of active duty. This includes for repossession of vehicles.",M0-12-01-08-00
This category concerns how a person can acknowledge paternity of a child.,FA-12-01-00-00
This category concerns how to use or respond to requests to take a blood tests to determine paternity of a child.,FA-12-02-00-00
This category concerns how to contest paternity or to respond when someone else is contesting paternity.,FA-12-03-00-00
"This category concerns the repossession of an automobile, in which a lender or leasing company takes a vehicle back after the owner misses a payment.",MO-12-01-08-00
"This category concerns issues with purchasing a car, including getting financing, reviewing the contract, understanding the loan terms, and having your credit report assessed.",TR-04-02-00-00
"This category concerns problems around 'vehicle warranties' for a car that one has purchased, which a person might have purchased to protect against unexpected or costly repairs or that might come with a manufacturer's warranty. It covers auto service contracts, warranty coverage, disputes around these warranties, how to make a claim, and state/federal lemon laws that relate to vehicle warranties.",TR-04-04-00-00
This category concerns contracts that are made between businesses or other entities (not personal/individual ones).,MO-03-02-00-00
This category concerns contracts that are made in the arts and entertainment sector.,MO-03-02-01-00
This category concerns problems a consumer might have with a contract they have signed with a business or other entity.,MO-03-03-00-00
This category concerns problems a person might have with meeting payments for their car or car insurance -- and what options they might have.,TR-04-01-00-00
"This category concerns issues with having a car repaired, paying for it, refusing to pay, dealing with a mechanic's lien, and protection against unfair or deceptive trade practices for car repair estimates and use of rebuilt parts in the repairs.",TR-04-03-00-00
This category concerns problems a person might have when contracting for their car to be repaired.,TR-04-04-01-00
"This category concerns problems a consumer might have around a warranty for a product they have purchased. This may be a written warranty a company issues, spoken warranties from a salesperson, service contract warranties, or implied warranties created by state law. This category covers issues with understanding warranty offers, making claims around them, resolving disputes around warranties, or possible lawsuits around enforcing warranties.",MO-03-04-00-00
"This category concerns problems a consumer might face when buying a product -- like a car or other vehicle -- with an 'as-is' warranty. This includes the seller's obligation to notify the buyer of the 'as is' state, and the legal protections that buyers have after purchasing a thing 'as is', or the protective steps a consumer can take before purchasing the thing 'as is'. Some states have 'lemon laws' for cars purchased 'as is', that guarantee a certain warranty period or for certain problems.",MO-03-04-01-00
"This category concerns the process and consequences of filing for Chapter 7 Bankruptcy, which is an option for individuals whose income is below certain requirements. Chapter 7 bankruptcy liquidates general debts (from credit cards and medical bills) without the need to pay them back. It is typically only available to people with low-income or little/no assets.",MO-13-01-00-00
"This category concerns the process and issues of filing for a Chapter 13 'reorganization' bankruptcy for individuals, who have regular income and enough money left over each month to pay back some of their debts (as opposed to those eligible for Chapter 7 'liquidation' bankruptcy). Individuals and sole proprietor companies can apply for Chapter 13 bankruptcy if they meet eligibility requirements. It offers benefits but also requires a payment plan for the debts. It may be used by people who have non-dischargeable debts like for alimony or child support, or for people who have fallen behind on house or car payments and want to catch up on payments and keep the property. It can also be used for debt relief, to lower credit card payments, stop a lawsuit, or prevent wage garnishment.",MO-13-02-00-00
"This category concerns the options and process of a bankruptcy discharge, when a court orders relieves a person from their obligation to pay a debt. This typically occurs at the end of a Chapter 7 or Chapter 13 bankruptcy hearing. Once a discharge happens, the creditor is prohibited from trying to collect the debt -- though they still may enforce liens attached to secured debts. Not all debts can be discharged in the different kinds of bankruptcy.",MO-13-05-00-00
